,NVDA,MSFT,GOOGL,META,AAPL,TSM,ORCL,LLY,CAT,DE,URI,CL,COST,UBER,ENPH,SMR,CCJ,NNE,OKLO,RHM.DE,HAG.DE,HO.PA,LDO.MI,HDMG.DE,BTC-USD,ETH-USD,SOL-USD,GLD,SLV,RKLB,LUNR,ASTS,RGTI,QBTS,IONQ,VKTX,BEAM,CATX,SOUN,AMPX,JMIA,TCEHY,NURO,BDMD
2024-04-17 04:00:00,495400000.0,15855500.0,21763100.0,12193700.0,50901200.0,18823200.0,5366600.0,3069400.0,2313800.0,1442200.0,896000.0,3886200.0,1376700.0,15363100.0,3624400.0,1930300.0,2665900.0,,490600.0,,,,,,,,,11521100.0,46667300.0,4283900.0,1572600.0,1585700.0,5570100.0,2510100.0,4039000.0,1973600.0,1443200.0,208990.0,13615000.0,366400.0,1679000.0,1850100.0,,
2024-04-17 22:00:00,,,,,,,,,,,,,,,,,,,,791777.0,670510.0,292264.0,4210742.0,,,,,,,,,,,,,,,,,,,,,
2024-04-18 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,36006307335.0,15183777035.0,4193561506.0,,,,,,,,,,,,,,,,,
2024-04-18 04:00:00,447260000.0,21029900.0,19883000.0,14808700.0,43122900.0,39306100.0,6662400.0,1717300.0,2380700.0,1562900.0,499200.0,4880800.0,1846400.0,20426000.0,3174800.0,1836400.0,2533600.0,,569500.0,,,,,,,,,6496900.0,26818200.0,5011500.0,1661500.0,3126600.0,2605600.0,2103000.0,4138700.0,2405900.0,1714200.0,505840.0,14196600.0,801100.0,1352500.0,3833600.0,,
2024-04-18 22:00:00,,,,,,,,,,,,,,,,,,,,496451.0,367382.0,158761.0,2606955.0,,,,,,,,,,,,,,,,,,,,,
2024-04-19 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,49920425401.0,20399982867.0,5857667913.0,,,,,,,,,,,,,,,,,800.0
2024-04-19 04:00:00,875198000.0,30565800.0,32615600.0,25215400.0,68149400.0,28284000.0,8251500.0,3505500.0,2929600.0,1125200.0,572700.0,6005100.0,2190400.0,23186000.0,3460200.0,2203600.0,2203100.0,,607700.0,,,,,,,,,8689000.0,29321200.0,5730300.0,2043200.0,2371700.0,3651200.0,2902400.0,4877800.0,3060700.0,4537000.0,320630.0,22471700.0,304100.0,1988600.0,3189800.0,,
2024-04-20 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,23097485495.0,9918642130.0,2795892211.0,,,,,,,,,,,,,,,,,
2024-04-21 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,20506644853.0,9394387894.0,2211663291.0,,,,,,,,,,,,,,,,,
2024-04-21 22:00:00,,,,,,,,,,,,,,,,,,,,394196.0,184111.0,190368.0,1865084.0,,,,,,,,,,,,,,,,,,,,,
2024-04-22 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,28282686673.0,12063858733.0,2959650502.0,,,,,,,,,,,,,,,,,100.0
2024-04-22 04:00:00,596341000.0,20286900.0,26446200.0,17271100.0,48116400.0,18556800.0,7125500.0,2354100.0,2085400.0,1005500.0,767100.0,3954100.0,1437100.0,26804900.0,3557800.0,2325400.0,4047700.0,,395200.0,,,,,,,,,13404300.0,37156900.0,5642300.0,1653200.0,3122900.0,5062000.0,4779100.0,6174900.0,1562400.0,2434600.0,551750.0,19714500.0,767700.0,1914400.0,3885000.0,,
2024-04-22 22:00:00,,,,,,,,,,,,,,,,,,,,398292.0,191281.0,156819.0,2754730.0,,,,,,,,,,,,,,,,,,,,,
2024-04-23 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,24310975583.0,11054442653.0,2750685937.0,,,,,,,,,,,,,,,,,4400.0
2024-04-23 04:00:00,438559000.0,15734500.0,21151600.0,15079200.0,49537800.0,12573800.0,5494800.0,2042000.0,1810700.0,1278300.0,598200.0,4014800.0,1176200.0,16814200.0,6413600.0,3948200.0,3699300.0,,910000.0,,,,,,,,,10730300.0,37046800.0,5609700.0,2372100.0,2239600.0,5933700.0,3371900.0,6747600.0,2032600.0,1400100.0,655290.0,43241500.0,189400.0,3169800.0,4314300.0,,
2024-04-23 22:00:00,,,,,,,,,,,,,,,,,,,,264447.0,186690.0,140636.0,2281830.0,,,,,,,,,,,,,,,,,,,,,
2024-04-24 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,30276655120.0,14000234760.0,3932336720.0,,,,,,,,,,,,,,,,,1200.0
2024-04-24 04:00:00,512208000.0,15065300.0,22779100.0,37772700.0,48251800.0,15558000.0,5791800.0,2133400.0,3032700.0,986600.0,641000.0,4066500.0,1206600.0,27515600.0,10885700.0,2908800.0,2881500.0,,661200.0,,,,,,,,,5741100.0,19783600.0,6095200.0,1591000.0,1521300.0,3044700.0,3397500.0,5987300.0,2584600.0,1110300.0,637840.0,42914500.0,464200.0,1848800.0,4274900.0,,
2024-04-24 22:00:00,,,,,,,,,,,,,,,,,,,,391168.0,288420.0,238989.0,4608643.0,,,,,,,,,,,,,,,,,,,,,
2024-04-25 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,32155786816.0,13989030260.0,3674969172.0,,,,,,,,,,,,,,,,,0.0
2024-04-25 04:00:00,424641000.0,40586500.0,57109700.0,82890700.0,50558300.0,18034300.0,6796600.0,2608800.0,6459600.0,1316900.0,1034000.0,6363600.0,1613600.0,20545200.0,7493500.0,2529500.0,2030800.0,,421100.0,,,,,,,,,6606500.0,32678400.0,5236200.0,1404300.0,1736500.0,2653300.0,2210500.0,3453500.0,3526900.0,1742600.0,456850.0,24545100.0,297500.0,1466600.0,1733500.0,,
2024-04-25 22:00:00,,,,,,,,,,,,,,,,,,,,302400.0,173005.0,172652.0,3006704.0,,,,,,,,,,,,,,,,,,,,,
2024-04-26 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,24139372950.0,10622333862.0,2564389027.0,,,,,,,,,,,,,,,,,200.0
2024-04-26 04:00:00,551011000.0,29694700.0,64665300.0,32691400.0,44838400.0,9453400.0,8355100.0,2009200.0,3324600.0,998300.0,581700.0,7541500.0,1524400.0,16187600.0,5827300.0,3685100.0,3083400.0,,1592500.0,,,,,,,,,6268500.0,26821300.0,5016500.0,1461700.0,1430300.0,3714900.0,3535300.0,6782500.0,3535400.0,1242900.0,468620.0,23139200.0,367700.0,2290600.0,3161500.0,,
2024-04-27 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,19530783039.0,11820785577.0,2373155947.0,,,,,,,,,,,,,,,,,
2024-04-28 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,17334827993.0,11379192678.0,1959005342.0,,,,,,,,,,,,,,,,,
2024-04-28 22:00:00,,,,,,,,,,,,,,,,,,,,189819.0,229601.0,233146.0,1887809.0,,,,,,,,,,,,,,,,,,,,,
2024-04-29 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,26635912073.0,15032246816.0,2464951751.0,,,,,,,,,,,,,,,,,0.0
2024-04-29 04:00:00,388971000.0,19582100.0,45610000.0,21502600.0,68169400.0,9997100.0,4994100.0,2665600.0,2171400.0,847100.0,604600.0,4472100.0,1526900.0,20102600.0,3117900.0,2248600.0,5424800.0,,2825600.0,,,,,,,,,6409900.0,23922200.0,3869200.0,1743900.0,1833900.0,5159200.0,3900100.0,5880000.0,2827900.0,912400.0,495710.0,25313900.0,1212900.0,1052100.0,2602200.0,,
2024-04-29 22:00:00,,,,,,,,,,,,,,,,,,,,202216.0,200219.0,225446.0,2490094.0,,,,,,,,,,,,,,,,,,,,,
2024-04-30 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,37840840057.0,18266894653.0,3407320371.0,,,,,,,,,,,,,,,,,0.0
2024-04-30 04:00:00,363709000.0,28781400.0,33562900.0,18429500.0,65934800.0,10980600.0,6234700.0,7437100.0,4201700.0,1016600.0,1081600.0,5286700.0,1734800.0,22707300.0,2768300.0,2526000.0,8863200.0,,1543900.0,,,,,,,,,11248600.0,32400100.0,7577600.0,2004000.0,1493600.0,2937300.0,3253500.0,3785200.0,3794600.0,1448200.0,423000.0,20612400.0,479000.0,1238900.0,2803600.0,,
2024-05-01 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,48439780271.0,20005057445.0,4136407963.0,,,,,,,,,,,,,,,,,1000.0
2024-05-01 04:00:00,559863000.0,23562500.0,33493200.0,20344900.0,50383100.0,12561800.0,5583600.0,2802100.0,3520600.0,2017800.0,584400.0,5219900.0,1609100.0,21266700.0,4364100.0,1907100.0,6482200.0,,1403100.0,,,,,,,,,10373900.0,42815400.0,9613300.0,2413800.0,1440000.0,3823700.0,2622400.0,3702000.0,4065300.0,1498100.0,391560.0,21512400.0,596400.0,1767300.0,1687400.0,,
2024-05-01 22:00:00,,,,,,,,,,,,,,,,,,,,286327.0,343624.0,181354.0,1885846.0,,,,,,,,,,,,,,,,,,,,,
2024-05-02 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,32711813559.0,13163903903.0,3380078368.0,,,,,,,,,,,,,,,,,800.0
2024-05-02 04:00:00,377898000.0,17709400.0,24294500.0,15221300.0,94214900.0,9261900.0,5001000.0,3205600.0,2492000.0,1790100.0,366800.0,9506000.0,1826900.0,18229300.0,4241700.0,2127200.0,3578400.0,,2240400.0,,,,,,,,,6287000.0,24968800.0,6283300.0,1459200.0,1474100.0,1990800.0,1643700.0,4342700.0,2147200.0,1102700.0,688890.0,14564100.0,526800.0,2517200.0,4724500.0,,
2024-05-02 22:00:00,,,,,,,,,,,,,,,,,,,,383071.0,547227.0,170500.0,1529862.0,,,,,,,,,,,,,,,,,,,,,
2024-05-03 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,33172023048.0,12862183229.0,3216962298.0,,,,,,,,,,,,,,,,,0.0
2024-05-03 04:00:00,398341000.0,17446700.0,34662400.0,16489100.0,163224100.0,13264300.0,4485000.0,4595100.0,1977100.0,1627000.0,343300.0,5432700.0,2323300.0,15557700.0,6067200.0,2194800.0,2224700.0,,2202300.0,,,,,,,,,8679900.0,26859100.0,5417200.0,2281300.0,2748000.0,2991900.0,3446600.0,3924300.0,3754300.0,1226200.0,470690.0,19564900.0,705500.0,3183600.0,2915700.0,,
2024-05-04 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,20620477992.0,8283229638.0,3050187811.0,,,,,,,,,,,,,,,,,
2024-05-05 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,18296164805.0,8783447639.0,2034794725.0,,,,,,,,,,,,,,,,,
2024-05-05 22:00:00,,,,,,,,,,,,,,,,,,,,223684.0,262477.0,175612.0,2414958.0,,,,,,,,,,,,,,,,,,,,,
2024-05-06 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,28697928697.0,13008587255.0,2926902880.0,,,,,,,,,,,,,,,,,0.0
2024-05-06 04:00:00,376203000.0,16996600.0,21871300.0,15094600.0,78569700.0,8601600.0,6052400.0,3398300.0,1653900.0,1042800.0,348400.0,3181900.0,1773300.0,25001900.0,2758300.0,2227100.0,4909800.0,,3147400.0,,,,,,,,,6840500.0,27627400.0,8227100.0,2067200.0,1704000.0,4095500.0,4456100.0,7959600.0,3197300.0,926200.0,297200.0,57583900.0,718600.0,4190300.0,1366300.0,,
2024-05-06 22:00:00,,,,,,,,,,,,,,,,,,,,391210.0,447160.0,148443.0,3902705.0,,,,,,,,,,,,,,,,,,,,,
2024-05-07 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,25930730982.0,11743187337.0,2687619013.0,,,,,,,,,,,,,,,,,0.0
2024-05-07 04:00:00,437342000.0,20018200.0,28039700.0,13406800.0,77305800.0,8682900.0,6437700.0,2879400.0,1965600.0,942000.0,437500.0,4008300.0,1897800.0,24427300.0,2557500.0,2012700.0,6534200.0,,3172800.0,,,,,,,,,5660700.0,14811500.0,17275500.0,2056800.0,1474300.0,2497200.0,2355100.0,6884400.0,3683600.0,1287400.0,391750.0,33520800.0,763500.0,14788600.0,1872500.0,,
2024-05-07 22:00:00,,,,,,,,,,,,,,,,,,,,165034.0,282400.0,179415.0,5509227.0,,,,,,,,,,,,,,,,,,,,,
2024-05-08 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,26088172222.0,11791662158.0,2502237557.0,,,,,,,,,,,,,,,,,0.0
